№ пп;Субъект РФ;Муниципальное образование;Поселение;Населенный пункт;Уникальный идентификатор ФИАС;Кол-во СКД ед.;Факт СКД ед.
1;Амурская область;Архаринский Район;;Касаткино Село;3ad79d0d-2a67-431e-baec-6651cd72115c;1;1
2;Амурская область;Архаринский Район;;Кундур Село;9d013463-884c-49ac-a667-50e5b3a37f87;1;1
3;Амурская область;Архаринский Район;;Могилевка Село;4f3c1508-2cbb-427b-be3e-02b0b19d0552;1;1
4;Амурская область;Архаринский Район;;Черноберезовка Село;316b4dd8-2465-4266-a8c9-e1e38ed7e6f9;1;1
5;Амурская область;Архаринский Район;Антоновский сельсовет;Антоновка Село;75ce0230-1799-4d47-814d-64f55fb0db70;1;1
6;Амурская область;Архаринский Район;Антоновский сельсовет;Красная Горка Село;3f8fe9d7-3d77-4e3d-b55f-d92f6cc7c674;1;1
7;Амурская область;Архаринский Район;Аркадьевский сельсовет;Аркадьевка Село;69ea89c6-f818-4e87-a5db-9ca9491f603b;1;1
8;Амурская область;Архаринский Район;Вольненский сельсовет;Вольное Село;b1bcc385-3c63-4e7a-a431-c3b43c5978a4;1;1
9;Амурская область;Архаринский Район;Вольненский сельсовет;Орловка Село;bc9001ba-9d67-4304-ada9-9221a8248611;1;1
10;Амурская область;Архаринский Район;Грибовский сельсовет;Грибовка Село;60413444-4472-4201-b26a-9d74564c56b0;1;1
11;Амурская область;Архаринский Район;Иннокентьевский сельсовет;Иннокентьевка Село;2103ae07-e384-4f28-8b0b-45da914997ac;1;1
12;Амурская область;Архаринский Район;Иннокентьевский сельсовет;Красный Луч Село;a6d8a7da-ac41-4ec9-b3ae-7bfc5fbd9a6d;1;1
13;Амурская область;Архаринский Район;Касаткинский сельсовет;Журавлевка Село;523d5147-d630-4b34-92e0-82ee86cc9315;1;1
14;Амурская область;Архаринский Район;Касаткинский сельсовет;Новопокровка Село;04aea6a9-e539-45ce-8382-882760351f05;1;1
15;Амурская область;Архаринский Район;Касаткинский сельсовет;Сагибово Село;d1b002d5-2b21-4abd-8b48-195f16fdf479;1;1
16;Амурская область;Архаринский Район;Кундурский сельсовет;Казачий Село;2f940220-2263-4117-b589-b90d05c8a984;1;1
17;Амурская область;Архаринский Район;Кундурский сельсовет;Тарманчукан Разъезд;1e537b00-4f79-4af6-9330-b759aef2f8b3;1;1
18;Амурская область;Архаринский Район;Ленинский сельсовет;Красный Исток Село;f8c283c5-7422-427d-82c9-57cbe46c902d;1;1
19;Амурская область;Архаринский Район;Ленинский сельсовет;Ленинское Село;a43466e0-5d44-4b82-99bd-334d2a7f77dd;1;1
20;Амурская область;Архаринский Район;Ленинский сельсовет;Михайловка Село;be26b549-8a4f-44d9-9358-77504844f989;1;1
21;Амурская область;Архаринский Район;Новосергеевский сельсовет;Богучан Станция;5c2d0528-7413-45c0-a2de-395fab266b54;1;1
22;Амурская область;Архаринский Район;Новосергеевский сельсовет;Новосергеевка Село;35a0e20a-73e0-40ea-862d-42bf290f2344;1;1
23;Амурская область;Архаринский Район;Новоспасский сельсовет;Домикан Село;7c473693-5282-4bab-b4ec-978603688314;1;1
24;Амурская область;Архаринский Район;Новоспасский сельсовет;Казановка Село;72ae40a4-8233-4bc3-b237-41207a5ce45a;1;1
25;Амурская область;Архаринский Район;Новоспасский сельсовет;Новоспасск Село;2b2e58f1-0461-4b88-8b60-32e3dcd513f6;1;1
26;Амурская область;Архаринский Район;Новоспасский сельсовет;Свободное Село;65030ad9-aeb9-4e96-920b-b6a01583fe8e;1;1
27;Амурская область;Архаринский Район;Отважненский сельсовет;Заречное Село;d8ffa250-4c42-4889-ad15-295cd6120c23;1;1
28;Амурская область;Архаринский Район;Отважненский сельсовет;Каменный Карьер Село;e5fe59d2-6c95-46c9-a071-57f42008cddd;1;1
29;Амурская область;Архаринский Район;Отважненский сельсовет;Отважное Село;5010f494-0d8e-44ee-8cbc-ed4c92d4f7f0;1;1
30;Амурская область;Архаринский Район;Отважненский сельсовет;Татакан Железнодорожная станция;5731abcf-870c-4e89-9332-cfa6226a71be;1;1
31;Амурская область;Архаринский Район;рабочий поселок (поселок городского типа) Архара;Архара Поселок городского типа;352424f4-1739-48fd-8a2c-e463bc4aed08;2;4
32;Амурская область;Архаринский Район;рабочий поселок (поселок городского типа) Архара;Бон Село;532c0fce-b3be-4f83-bfc8-66019b63f43d;1;1
33;Амурская область;Архаринский Район;рабочий поселок (поселок городского типа) Архара;Журавли Станция;914d895f-2d52-49e1-ad7e-458afc4c2b3e;1;0
34;Амурская область;Архаринский Район;Северный сельсовет;Северное Село;16637a69-324d-4a8e-8277-db644fe65a1a;1;1
35;Амурская область;Архаринский Район;Северный сельсовет;Скобельцино Село;375040a1-094d-4a2c-8b6c-942ad74eb015;1;1
36;Амурская область;Архаринский Район;Северный сельсовет;Украинка Село;42019e47-a121-4ee7-8541-5466e66e7a30;1;1
37;Амурская область;Архаринский Район;Урильский сельсовет;Рачи Станция;6bfb83e8-7194-4373-bfc4-79571698fa4b;1;1
38;Амурская область;Архаринский Район;Урильский сельсовет;Урил Село;f4934f0a-e4f4-422d-8d35-8976f90aefa6;1;1
39;Амурская область;Архаринский Район;Черниговский сельсовет;Гуликовка Село;d4d9a392-7f24-4a27-a67f-85e8676c0ebf;1;1
40;Амурская область;Архаринский Район;Черниговский сельсовет;Домикан Железнодорожная станция;1365b6eb-c1b2-4bf6-b6aa-e4c5672715d5;1;1
41;Амурская область;Архаринский Район;Черниговский сельсовет;Каменка Село;36a50ab9-f318-4cf4-977e-1462c8e34fb7;1;1
42;Амурская область;Архаринский Район;Черниговский сельсовет;Кулусутай Железнодорожная станция;dfb7cd62-de43-42ca-9d0f-6332dd0c4cc3;1;1
43;Амурская область;Архаринский Район;Черниговский сельсовет;Левый берег Село;0323150c-aaf5-412b-b858-8dee5e01bc2a;1;1
44;Амурская область;Архаринский Район;Черниговский сельсовет;Новодомикан Село;8d034035-9a76-46c3-90b7-71c765fd1e43;1;1
45;Амурская область;Архаринский Район;Черниговский сельсовет;Петропавловка Село;02874c27-db2a-406b-a0c2-d641fcddc19e;1;0
46;Амурская область;Архаринский Район;Черниговский сельсовет;Черниговка Село;15b55fb1-a9c4-42e1-bcd1-d98dd2586a51;1;1
47;Амурская область;Архаринский Район;Ядринский сельсовет;Есауловка Железнодорожная станция;8be1b088-1874-43b5-a7e5-d7d9b078af3f;1;1
48;Амурская область;Архаринский Район;Ядринский сельсовет;Ядрино Село;24018d3d-c1a5-4fee-9a97-c958044dfcf2;1;1
49;Амурская область;Белогорск Город;город Белогорск;город Белогорск;c528e99b-7e81-4290-9cda-8713884472a5;3;3
50;Амурская область;Белогорск Город;город Белогорск;Низинное Село;4033b155-1d5e-4ee3-9d56-4588b431f611;1;1
51;Амурская область;Белогорский Район;Амурский сельсовет;Амурское Село;872073cc-9ae8-4d6a-b549-9f61cee51da1;1;1
52;Амурская область;Белогорский Район;Амурский сельсовет;Дубровка Село;efd64645-e163-4943-bdaf-02c18ecac9bd;1;1
53;Амурская область;Белогорский Район;Васильевский сельсовет;Васильевка Село;0d04a9f6-e65a-49c0-82c4-5b0338b0760f;1;1
54;Амурская область;Белогорский Район;Васильевский сельсовет;Круглое Село;a2dec369-8f4a-4742-b30a-6ebf6ec4cbd5;1;1
55;Амурская область;Белогорский Район;Васильевский сельсовет;Междугранка Село;ffe45e08-49bb-449d-b9e9-403650260ea8;1;1
56;Амурская область;Белогорский Район;Васильевский сельсовет;Павловка Село;f5bf56ec-a111-41d4-9ffb-2e11a44a6ca7;1;1
57;Амурская область;Белогорский Район;Великокнязевский сельсовет;Великокнязевка Село;64e2f98e-ecff-463a-9d54-339d32b851ba;1;1
58;Амурская область;Белогорский Район;Великокнязевский сельсовет;Комиссаровка Село;43220b26-a10d-4a48-bc02-d1bbf3e7d357;1;1
59;Амурская область;Белогорский Район;Великокнязевский сельсовет;Новоандреевка Село;d5e35d5c-1661-4055-9b6e-4c2bf4741096;1;1
60;Амурская область;Белогорский Район;Возжаевский сельсовет;Возжаевка Село;96440ec3-9bc2-415e-b38f-68ec7476be1b;1;1
61;Амурская область;Белогорский Район;Кустанаевский сельсовет;Камышовка Село;e070ff0c-13f0-4b00-a743-33ccd887fd02;1;1
62;Амурская область;Белогорский Район;Кустанаевский сельсовет;Кустанаевка Село;1f415de1-5036-4a9c-b10a-ff67807aa432;1;1
63;Амурская область;Белогорский Район;Кустанаевский сельсовет;Лукьяновка Село;120bd7f5-045f-4489-91b1-a21277acea1e;1;1
64;Амурская область;Белогорский Район;Лохвицкий сельсовет;Лохвицы Село;6462b036-a9c1-4ee4-afc1-4777c2338aa7;2;2
65;Амурская область;Белогорский Район;Некрасовский сельсовет;Захарьевка Село;fb78a7ee-c888-47a0-a65b-a4b453ed16d1;1;0
66;Амурская область;Белогорский Район;Некрасовский сельсовет;Некрасовка Село;7ecd3dc3-8e52-4afd-9644-79e386db0fe2;1;2
67;Амурская область;Белогорский Район;Некрасовский сельсовет;Новоназаровка Село;ed7d558e-285f-4725-a4da-e9285787e68b;1;1
68;Амурская область;Белогорский Район;Некрасовский сельсовет;Новоселитьба Село;dd2fc9b4-ee13-408d-b83e-9a7b96a3461b;1;1
69;Амурская область;Белогорский Район;Никольский сельсовет;Киселеозерка Село;7a8e5326-50f8-4a8c-8173-52e746b6c012;1;1
70;Амурская область;Белогорский Район;Никольский сельсовет;Ключи Село;a492ef1b-8abc-4e54-8524-13b01bd1a346;1;1
71;Амурская область;Белогорский Район;Никольский сельсовет;Никольское Село;a17f972f-da06-4081-bb42-ebf7f593918d;2;2
72;Амурская область;Белогорский Район;Новинский сельсовет;Луговое Село;e4c4353a-db6a-4652-96ec-4e7f3fe5df29;1;1
73;Амурская область;Белогорский Район;Новинский сельсовет;Мостовое Село;785da355-69a6-4ad0-a180-4f9359521077;1;0
74;Амурская область;Белогорский Район;Новинский сельсовет;Новое Село;768b13f4-67b8-4255-879f-e60222dee9f8;1;2
75;Амурская область;Белогорский Район;Озерянский сельсовет;Заречное Село;833b517e-8a08-4c79-af1b-fffe904273c8;1;1
