"name"
Муниципальное образование
Архаринский Район
Белогорск Город
Белогорский Район
Благовещенск Город
Благовещенский Район
Бурейский Район
Завитинский Район
Зейский Район
Зея Город
Ивановский Район
Константиновский Район
Магдагачинский Район
Магдагачи Район
Мазановский Район
Михайловский Район
Октябрьский Район
Прогресс Поселок городского типа
Райчихинск Город
Ромненский Район
Свободненский Район
Свободный Город
Селемджинский Район
Серышевский Район
Сковородинский Район
Тамбовский Район
Тында Город
Тындинский Район
Углегорск Поселок
Шимановск Город
Шимановский Район
